web2app_browser	stagehand	browserbase/stagehand
web2app_browser	crawlee	apify/crawlee
web2app_browser	browser-use	browser-use/browser-use
web2app_browser	browsergym	ServiceNow/BrowserGym
web2app_browser	skyvern	Skyvern-AI/skyvern
customerops_crm	frappe-crm	frappe/crm
customerops_crm	espocrm	espocrm/espocrm
customerops_crm	suitecrm-core	SuiteCRM/SuiteCRM-Core
customerops_crm	nocobase	nocobase/nocobase
customerops_crm	corteza	cortezaproject/corteza
customerops_crm	directus	directus/directus
customerops_crm	baserow	baserow/baserow
customerops_crm	appsmith	appsmithorg/appsmith
customerops_crm	activepieces	activepieces/activepieces
customerops_crm	mautic	mautic/mautic
osintops_search	searxng	searxng/searxng
osintops_search	trafilatura	adbar/trafilatura
osintops_search	tika	apache/tika
osintops_search	changedetection	dgtlmoon/changedetection.io
osintops_search	yente	opensanctions/yente
osintops_search	opensanctions	opensanctions/opensanctions
osintops_search	followthemoney	opensanctions/followthemoney
osintops_search	aleph	alephdata/aleph
osintops_search	splink	moj-analytical-services/splink
osintops_search	opencti	OpenCTI-Platform/opencti
osintops_search	intelowl	intelowlproject/IntelOwl
osintops_search	timesketch	google/timesketch
osintops_search	misp	MISP/MISP
osintops_search	nuclei	projectdiscovery/nuclei
osintops_search	amass	owasp-amass/amass
osintops_search	dnstwist	elceef/dnstwist
platformops_cloud	cloudstack	apache/cloudstack
platformops_cloud	opennebula	OpenNebula/one
platformops_cloud	cluster-api	kubernetes-sigs/cluster-api
platformops_cloud	baremetal-operator	metal3-io/baremetal-operator
platformops_cloud	ironic	openstack/ironic
platformops_cloud	talos	siderolabs/talos
platformops_cloud	flatcar	flatcar/Flatcar
platformops_cloud	kubeedge	kubeedge/kubeedge
platformops_cloud	karmada	karmada-io/karmada
platformops_serverless	knative-serving	knative/serving
platformops_serverless	knative-eventing	knative/eventing
platformops_serverless	openfaas	openfaas/faas
platformops_serverless	keda	kedacore/keda
platformops_serverless	volcano	volcano-sh/volcano
platformops_serverless	kueue	kubernetes-sigs/kueue
platformops_serverless	argo-workflows	argoproj/argo-workflows
platformops_serverless	tekton-pipeline	tektoncd/pipeline
platformops_serverless	dagster	dagster-io/dagster
platformops_serverless	airflow	apache/airflow
platformops_engineering	backstage	backstage/backstage
platformops_engineering	meltano	meltano/meltano
platformops_engineering	dapr	dapr/dapr
identity_supplychain	cert-manager	cert-manager/cert-manager
identity_supplychain	spire	spiffe/spire
identity_supplychain	cosign	sigstore/cosign
identity_supplychain	in-toto	in-toto/in-toto
sandbox_wasm	gvisor	google/gvisor
sandbox_wasm	kata-containers	kata-containers/kata-containers
sandbox_wasm	cloud-hypervisor	cloud-hypervisor/cloud-hypervisor
sandbox_wasm	wasmtime	bytecodealliance/wasmtime
sandbox_wasm	wasmcloud	wasmCloud/wasmCloud
sandbox_wasm	spin	fermyon/spin
network_gateway	calico	projectcalico/calico
network_gateway	istio	istio/istio
network_gateway	envoy-gateway	envoyproxy/gateway
network_gateway	traefik	traefik/traefik
network_gateway	tetragon	cilium/tetragon
data_analytics	cloudnative-pg	cloudnative-pg/cloudnative-pg
data_analytics	vitess	vitessio/vitess
data_analytics	valkey	valkey-io/valkey
data_analytics	duckdb	duckdb/duckdb
data_analytics	iceberg	apache/iceberg
data_analytics	delta-io	delta-io/delta
data_analytics	hudi	apache/hudi
data_analytics	dbt-core	dbt-labs/dbt-core
data_analytics	opensearch	opensearch-project/OpenSearch
data_analytics	meilisearch	meilisearch/meilisearch
data_analytics	typesense	typesense/typesense
data_analytics	weaviate	weaviate/weaviate
